response_id,submission_date,age_group,gender,satisfaction_score,product_quality,customer_service,would_recommend,annual_income,region,comments
RESP00010,2024-02-27,36-45,Female,4,Very Good,Very Good,No,$50k-$75k,East,
RESP00052,2024-02-27,56-65,Male,5,Very Good,,Yes,$50k-$75k,South,Average
RESP00040,2024-02-27,36-45,Male,2,Excellent,Good,Maybe,>$100k,West,Excellent experience
RESP00069,2024-02-27,46-55,Male,5,Very Good,Very Good,No,$25k-$50k,South,Excellent experience
RESP00426,2024-02-27,65+,Female,4,Very Good,Good,,$75k-$100k,South,
RESP00317,2024-02-27,18-25,Male,1,Poor,Good,Yes,$75k-$100k,Central,Excellent experience
RESP00058,2024-02-28,56-65,Male,5,Very Good,Good,Yes,$25k-$50k,East,Not what I expected
RESP00011,2024-02-28,56-65,Male,2,Excellent,,Yes,$75k-$100k,South,
RESP00055,2024-02-28,26-35,Male,2,Good,Good,Yes,$50k-$75k,East,Great service!
RESP00106,2024-02-28,36-45,Female,3,Very Good,Very Good,Maybe,<$25k,North,Not what I expected
RESP00162,2024-02-28,46-55,Male,4,Excellent,Very Good,Yes,$50k-$75k,West,
RESP00442,2024-02-28,36-45,Male,4,Good,Good,Maybe,>$100k,North,Very satisfied
RESP00461,2024-02-28,36-45,Female,4,Good,Good,No,$50k-$75k,East,Not what I expected
RESP00272,2024-02-28,18-25,Prefer not to say,4,Excellent,Good,Yes,$50k-$75k,South,Average
RESP00347,2024-02-28,18-25,Male,5,Very Good,Very Good,Yes,$25k-$50k,Central,
RESP00118,2024-02-28,,Female,3,Very Good,Good,No,>$100k,West,Not what I expected
RESP00447,2024-02-29,36-45,Female,4,Excellent,Very Good,Yes,$25k-$50k,Central,
RESP00440,2024-02-29,26-35,Male,5,Very Good,Excellent,Yes,$50k-$75k,Central,Very satisfied
RESP00358,2024-02-29,18-25,Male,5,Good,Good,Yes,$25k-$50k,East,Average
RESP00038,2024-02-29,36-45,Male,1,,Very Good,No,$50k-$75k,North,
RESP00029,2024-02-29,46-55,Female,4,Good,Good,Yes,$50k-$75k,East,
RESP00486,2024-02-29,46-55,Female,5,Fair,Very Good,,$25k-$50k,East,Very satisfied
RESP00469,2024-02-29,18-25,Female,2,Very Good,Excellent,Yes,$25k-$50k,West,Great service!
RESP00225,2024-02-29,26-35,Female,2,Good,Very Good,Yes,$75k-$100k,South,Average
RESP00275,2024-02-29,26-35,Male,5,Good,Excellent,Maybe,,Central,Great service!
RESP00435,2024-02-29,26-35,Female,4,Excellent,Good,Yes,$25k-$50k,North,Great service!
RESP00448,2024-03-01,26-35,Male,5,Very Good,Poor,Yes,$25k-$50k,South,Very satisfied
RESP00176,2024-03-01,36-45,Male,5,Excellent,Excellent,Yes,$50k-$75k,South,
RESP00117,2024-03-01,46-55,Female,5,Very Good,Excellent,No,$75k-$100k,East,Very satisfied
RESP00465,2024-03-01,46-55,Female,2,Excellent,Good,Yes,$50k-$75k,North,
RESP00410,2024-03-01,46-55,Female,4,Very Good,Good,Maybe,$25k-$50k,North,Could be better
RESP00265,2024-03-01,65+,Female,5,Poor,Good,Yes,$25k-$50k,Central,
RESP00331,2024-03-02,,Male,3,Fair,Good,Yes,>$100k,East,Not what I expected
RESP00336,2024-03-02,46-55,Male,5,,,Maybe,$50k-$75k,East,
RESP00195,2024-03-02,,Male,4,Very Good,Excellent,Yes,$25k-$50k,South,Excellent experience
RESP00264,2024-03-02,,Male,5,Good,Excellent,Maybe,$50k-$75k,Central,Not what I expected
RESP00495,2024-03-02,18-25,Female,3,Good,Excellent,Maybe,<$25k,South,Great service!
RESP00468,2024-03-02,,Female,5,Very Good,Very Good,,$50k-$75k,East,Had some issues
RESP00269,2024-03-02,26-35,Female,4,Excellent,Very Good,Yes,$50k-$75k,Central,
RESP00462,2024-03-03,,Female,5,Very Good,Very Good,Yes,,West,Average
RESP00108,2024-03-04,56-65,Male,4,Excellent,Good,Yes,<$25k,Central,Very satisfied
RESP00112,2024-03-04,56-65,Female,3,Good,Excellent,Yes,$50k-$75k,North,
RESP00314,2024-03-04,26-35,Female,4,Very Good,Excellent,Maybe,$25k-$50k,East,Excellent experience
RESP00107,2024-03-04,26-35,Male,,Very Good,Good,Yes,$50k-$75k,Central,
RESP00211,2024-03-04,46-55,Male,2,Excellent,Excellent,Yes,$50k-$75k,West,Great service!
RESP00214,2024-03-04,46-55,Female,5,Good,Excellent,Maybe,$25k-$50k,South,Very satisfied
RESP00215,2024-03-04,46-55,Male,4,Good,Excellent,Yes,>$100k,West,
RESP00247,2024-03-05,26-35,Other,4,Very Good,Excellent,No,$75k-$100k,East,
RESP00332,2024-03-05,46-55,Female,5,Excellent,Excellent,Maybe,$25k-$50k,Central,Very satisfied
RESP00042,2024-03-05,36-45,Female,5,,Good,Yes,$50k-$75k,North,
RESP00329,2024-03-05,18-25,Male,5,Very Good,Fair,No,$75k-$100k,West,Had some issues
RESP00387,2024-03-06,36-45,Male,5,,Very Good,Yes,<$25k,North,Excellent experience
RESP00076,2024-03-06,18-25,Female,4,Excellent,Good,Yes,$25k-$50k,East,Not what I expected
RESP00476,2024-03-06,,Male,3,Poor,Excellent,Yes,$50k-$75k,South,Very satisfied
RESP00014,2024-03-07,18-25,Other,4,Excellent,Very Good,Yes,$50k-$75k,West,
RESP00349,2024-03-07,26-35,Male,3,Good,Very Good,Yes,>$100k,West,
RESP00036,2024-03-07,26-35,Male,4,Excellent,Excellent,Yes,$25k-$50k,East,Very satisfied
RESP00278,2024-03-07,56-65,Male,4,,Good,Maybe,$25k-$50k,West,Not what I expected
RESP00020,2024-03-07,56-65,Female,,Fair,Very Good,No,$50k-$75k,North,Very satisfied
RESP00212,2024-03-07,36-45,Male,3,Very Good,Very Good,Yes,$50k-$75k,South,Average
RESP00008,2024-03-07,56-65,Female,4,Very Good,Good,Maybe,>$100k,West,Very satisfied
RESP00342,2024-03-07,26-35,Female,4,Very Good,Fair,Yes,$50k-$75k,Central,Excellent experience
RESP00361,2024-03-07,46-55,Male,5,Very Good,Very Good,Maybe,,Central,Great service!
RESP00337,2024-03-08,46-55,,5,Very Good,Excellent,,$75k-$100k,North,Not what I expected
RESP00320,2024-03-08,56-65,Female,4,Good,Good,Yes,$75k-$100k,West,Not what I expected
RESP00004,2024-03-08,36-45,Male,2,Good,Very Good,Yes,$75k-$100k,North,
RESP00193,2024-03-08,18-25,Female,4,Excellent,Good,Maybe,$50k-$75k,Central,
RESP00184,2024-03-08,26-35,Male,4,Excellent,Excellent,No,$25k-$50k,North,Excellent experience
RESP00073,2024-03-08,26-35,Female,3,Good,Excellent,Yes,$75k-$100k,Central,
RESP00204,2024-03-08,46-55,Male,5,Excellent,Good,Maybe,$25k-$50k,West,Average
RESP00182,2024-03-08,36-45,Prefer not to say,4,Good,Excellent,Yes,,West,
RESP00015,2024-03-09,26-35,Male,5,Very Good,Fair,Yes,$75k-$100k,Central,
RESP00374,2024-03-09,36-45,Female,4,Excellent,Good,No,$50k-$75k,East,
RESP00298,2024-03-09,65+,Female,,Excellent,Excellent,Yes,$75k-$100k,East,Could be better
RESP00485,2024-03-09,36-45,Female,3,Excellent,Good,No,$75k-$100k,South,Great service!
RESP00433,2024-03-09,18-25,Male,1,Excellent,Excellent,Yes,$75k-$100k,North,Very satisfied
RESP00003,2024-03-09,26-35,Prefer not to say,4,Good,Excellent,Yes,$50k-$75k,West,Not what I expected
RESP00273,2024-03-09,,Male,3,Excellent,Very Good,Yes,,East,
RESP00284,2024-03-09,26-35,Female,4,Very Good,Good,Maybe,>$100k,East,Had some issues
RESP00047,2024-03-10,65+,Female,5,,Good,Yes,,South,Average
RESP00109,2024-03-10,36-45,Prefer not to say,3,Very Good,Very Good,Yes,$75k-$100k,Central,
RESP00390,2024-03-10,,Male,3,Very Good,Very Good,Yes,,South,
RESP00405,2024-03-10,18-25,Prefer not to say,5,Very Good,Excellent,Yes,$50k-$75k,East,Great service!
RESP00493,2024-03-11,18-25,Male,1,Very Good,Excellent,Yes,<$25k,North,Could be better
RESP00126,2024-03-11,46-55,Female,5,Very Good,Very Good,Yes,$25k-$50k,East,Not what I expected
RESP00248,2024-03-11,36-45,Female,5,Poor,Good,No,$75k-$100k,Central,Not what I expected
RESP00392,2024-03-11,26-35,Female,,Excellent,Fair,Maybe,$25k-$50k,East,Not what I expected
RESP00173,2024-03-11,46-55,Female,3,Very Good,Excellent,Yes,$50k-$75k,South,
RESP00080,2024-03-11,46-55,Male,3,Very Good,,Maybe,$50k-$75k,Central,
RESP00235,2024-03-12,46-55,Female,4,Good,Very Good,Maybe,,Central,
RESP00018,2024-03-12,,Female,,Excellent,Excellent,Yes,$25k-$50k,East,Could be better
RESP00130,2024-03-12,36-45,Male,5,Very Good,Good,Yes,$50k-$75k,East,Great service!
RESP00160,2024-03-12,56-65,Female,1,Excellent,Very Good,No,$50k-$75k,East,
RESP00386,2024-03-12,46-55,Male,4,Excellent,Excellent,No,$25k-$50k,South,
RESP00481,2024-03-12,36-45,Male,4,Very Good,Very Good,Maybe,$75k-$100k,South,Very satisfied
RESP00283,2024-03-12,,Male,5,Excellent,Good,,$25k-$50k,South,Average
RESP00085,2024-03-13,56-65,Male,5,Excellent,Good,Maybe,>$100k,South,Had some issues
RESP00256,2024-03-13,26-35,Female,4,Excellent,Fair,Yes,$50k-$75k,North,
RESP00436,2024-03-13,36-45,Male,5,Good,Excellent,Yes,$25k-$50k,East,
RESP00280,2024-03-13,26-35,Female,4,Very Good,Very Good,No,<$25k,West,
RESP00210,2024-03-13,18-25,Prefer not to say,4,Good,Excellent,Maybe,$25k-$50k,South,
RESP00474,2024-03-14,36-45,Male,4,Excellent,Good,Yes,$25k-$50k,South,Could be better
RESP00398,2024-03-14,26-35,Male,,Very Good,Very Good,Yes,$75k-$100k,East,
RESP00001,2024-03-14,26-35,Female,4,Very Good,Excellent,Maybe,,East,
RESP00365,2024-03-14,26-35,Male,1,Good,Excellent,Yes,$75k-$100k,North,Not what I expected
RESP00191,2024-03-14,18-25,Male,,Very Good,Very Good,Yes,$50k-$75k,West,Excellent experience
RESP00287,2024-03-14,56-65,Female,2,Fair,Very Good,Yes,$50k-$75k,Central,Had some issues
RESP00159,2024-03-14,26-35,Male,2,Good,Excellent,Maybe,>$100k,West,
RESP00205,2024-03-14,18-25,Other,4,Excellent,Good,Yes,,South,Very satisfied
RESP00142,2024-03-14,,Female,3,Fair,Very Good,Yes,$25k-$50k,North,
RESP00300,2024-03-14,26-35,Male,4,Very Good,Very Good,Maybe,$75k-$100k,South,Very satisfied
RESP00163,2024-03-15,,Male,4,Excellent,Very Good,,$25k-$50k,East,
RESP00045,2024-03-15,18-25,Female,3,Fair,Very Good,Yes,$75k-$100k,Central,Had some issues
RESP00056,2024-03-16,,,1,Good,Excellent,Yes,,East,
RESP00115,2024-03-16,26-35,Male,,Very Good,Excellent,Yes,$50k-$75k,East,Average
RESP00488,2024-03-16,26-35,Female,5,Fair,Excellent,No,,Central,
RESP00422,2024-03-16,46-55,Female,4,Good,Good,No,<$25k,South,Not what I expected
RESP00421,2024-03-17,36-45,Male,1,Good,Good,Maybe,$50k-$75k,South,Great service!
RESP00123,2024-03-17,65+,Female,4,Excellent,,Yes,$25k-$50k,South,Had some issues
RESP00158,2024-03-17,26-35,Male,3,Excellent,Poor,Yes,$50k-$75k,West,Great service!
RESP00304,2024-03-17,56-65,Female,2,Good,,Maybe,$25k-$50k,South,Could be better
RESP00355,2024-03-17,18-25,Male,3,Excellent,Excellent,No,$50k-$75k,Central,Not what I expected
RESP00002,2024-03-17,26-35,Male,3,Very Good,Fair,Maybe,$75k-$100k,East,Not what I expected
RESP00122,2024-03-17,36-45,Female,5,Good,Excellent,Maybe,,North,
RESP00197,2024-03-18,36-45,Female,4,,Very Good,No,$50k-$75k,West,Great service!
RESP00143,2024-03-18,26-35,Female,5,Very Good,Good,Yes,>$100k,South,
RESP00201,2024-03-18,18-25,Female,5,Very Good,Good,Yes,$25k-$50k,West,
RESP00111,2024-03-18,65+,Male,5,Good,,Yes,$25k-$50k,East,Not what I expected
RESP00301,2024-03-18,36-45,Female,4,Very Good,Very Good,Yes,$75k-$100k,North,Not what I expected
RESP00473,2024-03-18,36-45,Male,5,Very Good,Very Good,Yes,<$25k,South,Could be better
RESP00209,2024-03-19,56-65,Male,4,Very Good,Excellent,Yes,$50k-$75k,East,Very satisfied
RESP00033,2024-03-19,46-55,Male,5,Excellent,Poor,Maybe,$25k-$50k,South,Very satisfied
RESP00217,2024-03-19,26-35,Male,5,Excellent,Poor,Yes,$50k-$75k,South,
RESP00257,2024-03-19,26-35,Male,4,Good,Good,Maybe,$75k-$100k,North,Excellent experience
RESP00427,2024-03-19,18-25,Female,5,Excellent,Excellent,No,$50k-$75k,East,
RESP00077,2024-03-19,36-45,Female,1,Very Good,Good,Yes,$50k-$75k,Central,Not what I expected
RESP00154,2024-03-19,26-35,Female,4,Good,Excellent,Maybe,$75k-$100k,East,
RESP00403,2024-03-19,46-55,Female,4,Fair,Fair,Maybe,$75k-$100k,North,Great service!
RESP00229,2024-03-19,56-65,Female,3,Very Good,Excellent,No,$25k-$50k,West,Great service!
RESP00452,2024-03-19,26-35,Male,4,Excellent,Good,Yes,$25k-$50k,North,Could be better
RESP00188,2024-03-19,46-55,,4,Very Good,Very Good,Yes,>$100k,South,
RESP00206,2024-03-20,36-45,Female,4,Excellent,Very Good,Yes,$75k-$100k,South,Excellent experience
RESP00491,2024-03-20,26-35,Male,5,,Good,Yes,<$25k,Central,Great service!
RESP00128,2024-03-20,36-45,Male,4,Very Good,Good,Yes,<$25k,South,
RESP00103,2024-03-20,36-45,Male,1,Excellent,Good,Yes,$50k-$75k,North,Not what I expected
RESP00385,2024-03-20,26-35,Other,,Poor,Good,Yes,$50k-$75k,West,Could be better
RESP00129,2024-03-21,65+,Male,5,Very Good,Good,No,$25k-$50k,East,Average
RESP00021,2024-03-21,26-35,Male,5,Excellent,,Yes,$25k-$50k,Central,Excellent experience
RESP00097,2024-03-21,18-25,Female,4,Fair,Good,Yes,$50k-$75k,South,Very satisfied
RESP00192,2024-03-21,36-45,Female,5,Very Good,Excellent,Yes,$75k-$100k,South,Very satisfied
RESP00226,2024-03-21,65+,Male,1,Excellent,Very Good,,$75k-$100k,East,Great service!
RESP00271,2024-03-21,36-45,Female,1,Excellent,Fair,Yes,$25k-$50k,Central,Very satisfied
RESP00297,2024-03-21,26-35,Female,5,Good,Very Good,Maybe,$75k-$100k,North,Could be better
RESP00423,2024-03-21,18-25,Male,5,Excellent,Very Good,Maybe,>$100k,North,Could be better
RESP00213,2024-03-21,26-35,Male,5,Good,Good,Maybe,$75k-$100k,West,Could be better
RESP00236,2024-03-22,36-45,Male,2,Excellent,Very Good,No,$50k-$75k,East,
RESP00070,2024-03-22,36-45,Female,2,Very Good,Fair,Maybe,>$100k,West,Great service!
RESP00239,2024-03-22,26-35,Male,5,Good,Excellent,Yes,>$100k,West,Not what I expected
RESP00367,2024-03-22,26-35,Male,4,Very Good,Good,Yes,>$100k,Central,Could be better
RESP00005,2024-03-23,56-65,Male,1,Very Good,Very Good,Yes,<$25k,Central,Average
RESP00445,2024-03-23,56-65,Male,2,Fair,Excellent,Yes,$50k-$75k,West,Could be better
RESP00267,2024-03-23,26-35,,4,Very Good,Good,Yes,>$100k,West,
RESP00039,2024-03-23,36-45,Female,4,Excellent,Good,No,>$100k,Central,
RESP00136,2024-03-24,18-25,Female,3,Fair,Good,No,>$100k,East,
RESP00063,2024-03-24,18-25,Female,4,Excellent,Fair,Maybe,$50k-$75k,South,
RESP00482,2024-03-24,26-35,Male,3,Excellent,Good,Yes,$75k-$100k,Central,
RESP00086,2024-03-25,56-65,Female,5,Good,Excellent,No,$50k-$75k,South,
RESP00155,2024-03-25,36-45,Male,4,Very Good,Fair,Yes,>$100k,Central,Great service!
RESP00116,2024-03-25,26-35,Female,4,Good,Fair,Yes,>$100k,North,Had some issues
RESP00362,2024-03-25,56-65,Female,5,Good,Good,,$50k-$75k,North,
RESP00432,2024-03-26,56-65,Male,4,,Good,Yes,<$25k,West,Great service!
RESP00141,2024-03-26,26-35,Female,3,Excellent,Very Good,Yes,$25k-$50k,North,Excellent experience
RESP00377,2024-03-26,65+,Female,4,Excellent,Good,Maybe,$25k-$50k,North,Average
RESP00458,2024-03-26,46-55,Female,4,Excellent,Fair,Yes,$50k-$75k,West,Had some issues
RESP00411,2024-03-27,18-25,Female,4,Good,Very Good,Maybe,$50k-$75k,East,
RESP00152,2024-03-27,36-45,Female,4,Good,Very Good,Yes,$50k-$75k,East,
RESP00343,2024-03-27,26-35,Female,2,Fair,Good,Maybe,>$100k,North,Could be better
RESP00281,2024-03-27,36-45,Male,4,Excellent,Good,Yes,$75k-$100k,West,Could be better
RESP00263,2024-03-27,,Female,3,Very Good,Excellent,Maybe,>$100k,West,
RESP00354,2024-03-28,18-25,Male,5,Fair,Very Good,Yes,<$25k,East,Great service!
RESP00288,2024-03-28,56-65,Female,4,Excellent,Excellent,Yes,<$25k,West,Great service!
RESP00444,2024-03-28,56-65,Female,3,Excellent,Good,Yes,$50k-$75k,East,Excellent experience
RESP00252,2024-03-28,,Male,4,Very Good,Good,No,$50k-$75k,East,Could be better
RESP00500,2024-03-29,65+,Prefer not to say,5,Very Good,Very Good,Yes,>$100k,South,Not what I expected
RESP00179,2024-03-29,36-45,,4,Excellent,Very Good,No,<$25k,Central,
RESP00196,2024-03-29,26-35,Female,,Good,Very Good,Yes,$75k-$100k,East,Excellent experience
RESP00062,2024-03-29,18-25,Male,3,Good,Good,Yes,<$25k,South,Average
RESP00156,2024-03-29,36-45,Female,3,Excellent,Very Good,Yes,,East,Average
RESP00035,2024-03-29,18-25,Male,3,,Good,Yes,>$100k,East,Great service!
RESP00241,2024-03-29,18-25,Male,5,,Very Good,Yes,$75k-$100k,Central,Excellent experience
RESP00424,2024-03-29,26-35,Female,4,Very Good,Excellent,Yes,,West,Had some issues
RESP00157,2024-03-30,18-25,Male,4,Excellent,Good,No,>$100k,South,
RESP00457,2024-03-30,26-35,Male,3,Excellent,Very Good,,<$25k,West,Could be better
RESP00425,2024-03-30,36-45,Male,4,Very Good,Fair,Yes,$50k-$75k,North,
RESP00046,2024-03-30,65+,Male,5,Good,Very Good,Yes,$75k-$100k,East,Had some issues
RESP00186,2024-03-30,65+,Male,,Very Good,Poor,Yes,>$100k,West,Could be better
RESP00439,2024-03-30,65+,Female,3,Excellent,Very Good,Maybe,$25k-$50k,North,Had some issues
RESP00396,2024-03-31,18-25,Male,3,Good,Excellent,Yes,$50k-$75k,North,Could be better
RESP00006,2024-03-31,26-35,,4,Very Good,Good,Yes,$50k-$75k,North,
RESP00446,2024-03-31,26-35,Female,4,Very Good,Very Good,Yes,,North,
RESP00420,2024-03-31,46-55,Male,5,Very Good,Very Good,Maybe,$75k-$100k,West,Average
RESP00198,2024-03-31,46-55,Male,3,Very Good,Excellent,Yes,$50k-$75k,North,Could be better
RESP00307,2024-03-31,26-35,Male,5,Good,Fair,,$25k-$50k,South,Excellent experience
RESP00068,2024-03-31,18-25,,5,Excellent,Very Good,,$50k-$75k,East,Could be better
RESP00074,2024-03-31,46-55,Male,5,,Excellent,No,$50k-$75k,North,Not what I expected
RESP00219,2024-03-31,36-45,Male,4,Excellent,Good,Yes,$75k-$100k,Central,Not what I expected
RESP00309,2024-03-31,36-45,Male,3,Poor,Very Good,Yes,$50k-$75k,West,Could be better
